yourlist:M201501042EL1V9A9QJ,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
NP_000537,K7PPA8,K7PPA8_HUMAN,unreviewed,Cellular tumor antigen p53,TP53,Homo sapiens (Human),393
NP_000537,P04637,P53_HUMAN,reviewed,Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53),TP53 P53,Homo sapiens (Human),393
NP_000537,Q53GA5,Q53GA5_HUMAN,unreviewed,Cellular tumor antigen p53 (Fragment),,Homo sapiens (Human),158
NP_006817,P27348,1433T_HUMAN,reviewed,14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1),YWHAQ,Homo sapiens (Human),245
NP_002458,P01106,MYC_HUMAN,reviewed,Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64),MYC BHLHE39,Homo sapiens (Human),439
NP_057662,Q05DG0,Q05DG0_HUMAN,unreviewed,RSF1 protein (Fragment),RSF1,Homo sapiens (Human),281
NP_057662,Q96T23,RSF1_HUMAN,reviewed,Remodeling and spacing factor 1 (Rsf-1) (HBV pX-associated protein 8) (Hepatitis B virus X-associated protein) (p325 subunit of RSF chromatin-remodeling complex),RSF1 HBXAP XAP8,Homo sapiens (Human),1441
NP_037414,Q96T88,UHRF1_HUMAN,reviewed,E3 ubiquitin-protein ligase UHRF1 (EC 6.3.2.-) (Inverted CCAAT box-binding protein of 90 kDa) (Nuclear protein 95) (Nuclear zinc finger protein Np95) (HuNp95) (hNp95) (RING finger protein 106) (Transcription factor ICBP90) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (hUHRF1) (Ubiquitin-like-containing PHD and RING finger domains protein 1),UHRF1 ICBP90 NP95 RNF106,Homo sapiens (Human),793
NP_005456,Q9Y243,AKT3_HUMAN,reviewed,RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2),AKT3 PKBG,Homo sapiens (Human),479
NP_005830,Q8IYB3,SRRM1_HUMAN,reviewed,Serine/arginine repetitive matrix protein 1 (SR-related nuclear matrix protein of 160 kDa) (SRm160) (Ser/Arg-related nuclear matrix protein),SRRM1 SRM160,Homo sapiens (Human),904
NP_003273,P48788,TNNI2_HUMAN,reviewed,"Troponin I, fast skeletal muscle (Troponin I, fast-twitch isoform)",TNNI2,Homo sapiens (Human),182
NP_775083,P20810,ICAL_HUMAN,reviewed,Calpastatin (Calpain inhibitor) (Sperm BS-17 component),CAST,Homo sapiens (Human),708
NP_775083,Q86YM9,Q86YM9_HUMAN,unreviewed,Calpastatin (Fragment),CAST,Homo sapiens (Human),435
NP_110378,B2RBI8,B2RBI8_HUMAN,unreviewed,"cDNA, FLJ95535, highly similar to Homo sapiens transcription factor 8 (represses interleukin 2 expression) (TCF8), mRNA",,Homo sapiens (Human),1124
NP_110378,P37275,ZEB1_HUMAN,reviewed,Zinc finger E-box-binding homeobox 1 (NIL-2-A zinc finger protein) (Negative regulator of IL2) (Transcription factor 8) (TCF-8),ZEB1 AREB6 TCF8,Homo sapiens (Human),1124
NP_006087,Q92597,NDRG1_HUMAN,reviewed,Protein NDRG1 (Differentiation-related gene 1 protein) (DRG-1) (N-myc downstream-regulated gene 1 protein) (Nickel-specific induction protein Cap43) (Reducing agents and tunicamycin-responsive protein) (RTP) (Rit42),NDRG1 CAP43 DRG1 RTP,Homo sapiens (Human),394
NP_001087,P53396,ACLY_HUMAN,reviewed,ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme),ACLY,Homo sapiens (Human),1101
NP_002947,B3KXA5,B3KXA5_HUMAN,unreviewed,"cDNA FLJ45045 fis, clone BRAWH3021580, highly similar to Restin (Cytoplasmic linker protein 170 alpha-2)",,Homo sapiens (Human),472
NP_002947,P30622,CLIP1_HUMAN,reviewed,CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin),CLIP1 CYLN1 RSN,Homo sapiens (Human),1438
NP_006388,O75792,RNH2A_HUMAN,reviewed,Ribonuclease H2 subunit A (RNase H2 subunit A) (EC 3.1.26.4) (Aicardi-Goutieres syndrome 4 protein) (AGS4) (RNase H(35)) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A),RNASEH2A RNASEHI RNHIA,Homo sapiens (Human),299
NP_055681,J3KNL6,J3KNL6_HUMAN,unreviewed,Protein transport protein Sec16A,SEC16A,Homo sapiens (Human),2357
NP_055681,O15027,SC16A_HUMAN,reviewed,Protein transport protein Sec16A (SEC16 homolog A),SEC16A KIAA0310 SEC16 SEC16L,Homo sapiens (Human),2179
NP_065816,Q5T4S7,UBR4_HUMAN,reviewed,E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1),UBR4 KIAA0462 KIAA1307 RBAF600 ZUBR1,Homo sapiens (Human),5183
NP_003479,Q92667,AKAP1_HUMAN,reviewed,"A-kinase anchor protein 1, mitochondrial (A-kinase anchor protein 149 kDa) (AKAP 149) (Dual specificity A-kinase-anchoring protein 1) (D-AKAP-1) (Protein kinase A-anchoring protein 1) (PRKA1) (Spermatid A-kinase anchor protein 84) (S-AKAP84)",AKAP1 AKAP149 PRKA1,Homo sapiens (Human),903
NP_060227,Q9C0G0,ZN407_HUMAN,reviewed,Zinc finger protein 407,ZNF407 KIAA1703,Homo sapiens (Human),2248
NP_115517,Q9H0G5,NSRP1_HUMAN,reviewed,Nuclear speckle splicing regulatory protein 1 (Coiled-coil domain-containing protein 55) (Nuclear speckle-related protein 70) (NSrp70),NSRP1 CCDC55 NSRP70,Homo sapiens (Human),558
NP_001036039,Q6UUV7,CRTC3_HUMAN,reviewed,CREB-regulated transcription coactivator 3 (Transducer of regulated cAMP response element-binding protein 3) (TORC-3) (Transducer of CREB protein 3),CRTC3 TORC3,Homo sapiens (Human),619
NP_001036039,Q8TEF4,Q8TEF4_HUMAN,unreviewed,FLJ00243 protein (Fragment),FLJ00243,Homo sapiens (Human),503
NP_001370,I6L9H2,I6L9H2_HUMAN,unreviewed,Cytosine-specific methyltransferase (EC 2.1.1.37),DNMT1,Homo sapiens (Human),1511
NP_001370,P26358,DNMT1_HUMAN,reviewed,DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT),DNMT1 AIM CXXC9 DNMT,Homo sapiens (Human),1616
NP_003694,A8KA74,A8KA74_HUMAN,unreviewed,cDNA FLJ76065,,Homo sapiens (Human),857
NP_003694,P78316,NOP14_HUMAN,reviewed,Nucleolar protein 14 (Nucleolar complex protein 14),NOP14 C4orf9 NOL14 RES4-25,Homo sapiens (Human),857
NP_001121,Q08117,AES_HUMAN,reviewed,Amino-terminal enhancer of split (Amino enhancer of split) (Gp130-associated protein GAM) (Grg-5) (Groucho-related protein 5) (Protein ESP1) (Protein GRG),AES GRG GRG5,Homo sapiens (Human),197
NP_001121,Q8WY48,Q8WY48_HUMAN,unreviewed,Putative uncharacterized protein PP2150,PP2150,Homo sapiens (Human),103
NP_542417,P48634,PRC2A_HUMAN,reviewed,Protein PRRC2A (HLA-B-associated transcript 2) (Large proline-rich protein BAT2) (Proline-rich and coiled-coil-containing protein 2A) (Protein G2),PRRC2A BAT2 G2,Homo sapiens (Human),2157
NP_079107,Q96RS0,TGS1_HUMAN,reviewed,Trimethylguanosine synthase (EC 2.1.1.-) (CLL-associated antigen KW-2) (Cap-specific guanine-N2 methyltransferase) (Hepatocellular carcinoma-associated antigen 137) (Nuclear receptor coactivator 6-interacting protein) (PRIP-interacting protein with methyltransferase motif) (PIMT) (PIPMT),TGS1 HCA137 NCOA6IP PIMT,Homo sapiens (Human),853
NP_000356,P60174,TPIS_HUMAN,reviewed,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase),TPI1 TPI,Homo sapiens (Human),286
NP_000356,Q53HE2,Q53HE2_HUMAN,unreviewed,Triosephosphate isomerase (EC 5.3.1.1) (Fragment),,Homo sapiens (Human),249
NP_000356,V9HWK1,V9HWK1_HUMAN,unreviewed,Triosephosphate isomerase (EC 5.3.1.1),HEL-S-49,Homo sapiens (Human),249
NP_008818,P47974,TISD_HUMAN,reviewed,"Zinc finger protein 36, C3H1 type-like 2 (ZFP36-like 2) (Butyrate response factor 2) (EGF-response factor 2) (ERF-2) (Protein TIS11D)",ZFP36L2 BRF2 ERF2 RNF162C TIS11D,Homo sapiens (Human),494
NP_067038,Q9NQG5,RPR1B_HUMAN,reviewed,Regulation of nuclear pre-mRNA domain-containing protein 1B (Cell cycle-related and expression-elevated protein in tumor),RPRD1B C20orf77 CREPT,Homo sapiens (Human),326
NP_003743,Q99613,EIF3C_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110),EIF3C EIF3S8,Homo sapiens (Human),913
NP_112179,Q6UN15,FIP1_HUMAN,reviewed,Pre-mRNA 3'-end-processing factor FIP1 (hFip1) (FIP1-like 1 protein) (Factor interacting with PAP) (Rearranged in hypereosinophilia),FIP1L1 FIP1 RHE,Homo sapiens (Human),594
NP_000225,P18858,DNLI1_HUMAN,reviewed,DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1),LIG1,Homo sapiens (Human),919
NP_056393,Q8ND56,LS14A_HUMAN,reviewed,Protein LSM14 homolog A (Protein FAM61A) (Protein SCD6 homolog) (Putative alpha-synuclein-binding protein) (AlphaSNBP) (RNA-associated protein 55A) (hRAP55) (hRAP55A),LSM14A C19orf13 FAM61A RAP55 RAP55A,Homo sapiens (Human),463
NP_060686,Q9NVE7,PANK4_HUMAN,reviewed,Pantothenate kinase 4 (hPanK4) (EC 2.7.1.33) (Pantothenic acid kinase 4),PANK4,Homo sapiens (Human),773
NP_005850,Q00577,PURA_HUMAN,reviewed,Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha),PURA PUR1,Homo sapiens (Human),322
NP_689929,Q86TB9,PATL1_HUMAN,reviewed,Protein PAT1 homolog 1 (PAT1-like protein 1) (Protein PAT1 homolog b) (Pat1b) (hPat1b),PATL1 OK/KNS-cl.5,Homo sapiens (Human),770
NP_115593,O75179,ANR17_HUMAN,reviewed,Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16),ANKRD17 GTAR KIAA0697,Homo sapiens (Human),2603
NP_002850,P49023,PAXI_HUMAN,reviewed,Paxillin,PXN,Homo sapiens (Human),591
NP_056121,Q9UPU5,UBP24_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24),USP24 KIAA1057,Homo sapiens (Human),2620
NP_076413,Q9H8M2,BRD9_HUMAN,reviewed,Bromodomain-containing protein 9 (Rhabdomyosarcoma antigen MU-RMS-40.8),BRD9 UNQ3040/PRO9856,Homo sapiens (Human),597
NP_056390,Q6Y7W6,PERQ2_HUMAN,reviewed,PERQ amino acid-rich with GYF domain-containing protein 2 (GRB10-interacting GYF protein 2) (Trinucleotide repeat-containing gene 15 protein),GIGYF2 KIAA0642 PERQ2 TNRC15,Homo sapiens (Human),1299
NP_056031,B4DGV1,B4DGV1_HUMAN,unreviewed,cDNA FLJ61589 (Fragment),,Homo sapiens (Human),1270
NP_056031,O43314,VIP2_HUMAN,reviewed,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.21) (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (hsVIP2),PPIP5K2 HISPPD1 KIAA0433 VIP2,Homo sapiens (Human),1243
NP_062565,Q8TEW0,PARD3_HUMAN,reviewed,Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha),PARD3 PAR3 PAR3A,Homo sapiens (Human),1356
NP_054733,O75643,U520_HUMAN,reviewed,U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD),SNRNP200 ASCC3L1 HELIC2 KIAA0788,Homo sapiens (Human),2136
NP_001354,O60832,DKC1_HUMAN,reviewed,H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1),DKC1 NOLA4,Homo sapiens (Human),514
NP_001934,Q14126,DSG2_HUMAN,reviewed,Desmoglein-2 (Cadherin family member 5) (HDGC),DSG2 CDHF5,Homo sapiens (Human),1118
NP_004437,P07814,SYEP_HUMAN,reviewed,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)],EPRS GLNS PARS QARS QPRS PIG32,Homo sapiens (Human),1512
NP_001005751,Q641Q2,FA21A_HUMAN,reviewed,WASH complex subunit FAM21A,FAM21A,Homo sapiens (Human),1341
NP_001005751,Q6P0Q7,Q6P0Q7_HUMAN,unreviewed,FAM21A protein (Fragment),FAM21A,Homo sapiens (Human),126
NP_115530,Q9BYE7,PCGF6_HUMAN,reviewed,Polycomb group RING finger protein 6 (Mel18 and Bmi1-like RING finger) (RING finger protein 134),PCGF6 MBLR RNF134,Homo sapiens (Human),350
NP_037425,Q13595,TRA2A_HUMAN,reviewed,Transformer-2 protein homolog alpha (TRA-2 alpha) (TRA2-alpha) (Transformer-2 protein homolog A),TRA2A,Homo sapiens (Human),282
NP_037425,Q549U1,Q549U1_HUMAN,unreviewed,"Putative MAPK activating protein (Putative uncharacterized protein HSU53209) (Transformer-2 alpha, isoform CRA_a) (cDNA, FLJ95674, Homo sapiens transformer-2 alpha (htra-2 alpha) (HSU53209), mRNA)",HSU53209 TRA2A hCG_37979,Homo sapiens (Human),282
NP_005750,Q9NYB9,ABI2_HUMAN,reviewed,Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1),ABI2 ARGBPIA,Homo sapiens (Human),513
NP_001951,P29692,EF1D_HUMAN,reviewed,Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4),EEF1D EF1D,Homo sapiens (Human),281
NP_056140,Q9Y2F5,ICE1_HUMAN,reviewed,Little elongation complex subunit 1 (Interactor of little elongator complex ELL subunit 1),ICE1 KIAA0947,Homo sapiens (Human),2266
NP_060537,Q3KQU3,MA7D1_HUMAN,reviewed,MAP7 domain-containing protein 1 (Arginine/proline-rich coiled-coil domain-containing protein 1) (Proline/arginine-rich coiled-coil domain-containing protein 1),MAP7D1 KIAA1187 PARCC1 RPRC1 PP2464,Homo sapiens (Human),841
NP_005906,Q14566,MCM6_HUMAN,reviewed,DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM),MCM6,Homo sapiens (Human),821
NP_073568,Q9H1E3,NUCKS_HUMAN,reviewed,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (P1),NUCKS1 NUCKS JC7,Homo sapiens (Human),243
NP_060554,Q3V6T2,GRDN_HUMAN,reviewed,Girdin (Akt phosphorylation enhancer) (APE) (Coiled-coil domain-containing protein 88A) (G alpha-interacting vesicle-associated protein) (GIV) (Girders of actin filament) (Hook-related protein 1) (HkRP1),CCDC88A APE GRDN KIAA1212,Homo sapiens (Human),1871
NP_006523,P55199,ELL_HUMAN,reviewed,RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein),ELL C19orf17,Homo sapiens (Human),621
